customer_id,recence,frequence,montant,panier_moyen,anciennete,R,F,M,score_rfm,segment,country,declared_preference,age_bracket,life_stage,urban_density
12395,19,15,7470.05,498.00333333333333,603,5,5,5,555,Champions,Belgium,Anti-imperfections,45-54 ans,,
12396,674,1,1920.3600000000001,1920.3600000000001,674,1,1,5,115,Hibernants,RSA,,55 ans et plus,,
12397,36,2,4144.82,2072.41,135,5,2,5,525,Nouveaux prometteurs,Belgium,Sans parfum,,,
12398,46,1,2563.69,2563.69,46,5,1,5,515,Nouveaux prometteurs,Switzerland,Anti-imperfections,,Jeune actif en solo,
12399,119,7,3503.5,500.5,645,4,5,5,455,Champions,Belgium,,18-24 ans,,
12400,414,1,270.69,270.69,414,2,1,3,213,Hibernants,Australia,,,Retraité(e),
12401,303,1,56.39,56.39,303,3,1,1,311,Clients moyens,Belgium,,,,Zone rurale
12402,323,6,2197.21,366.20166666666665,671,2,4,5,245,À risque,Belgium,Peau sèche,35-44 ans,Retraité(e),
12403,50,2,195.37,97.685,522,5,2,3,523,Nouveaux prometteurs,Denmark,Sans parfum,55 ans et plus,,
12404,682,1,2.4,2.4,682,1,1,1,111,Perdus,,,,,
12405,149,1,1898.12,1898.12,149,3,1,5,315,Clients moyens,Finland,Peau sensible,,Famille avec adolescents,
12406,22,5,5699.31,1139.862,697,5,4,5,545,Champions,Denmark,,18-24 ans,,Périurbain
12407,50,5,2510.37,502.07399999999996,264,5,4,5,545,Champions,Belgium,,,,
12408,33,8,3963.8,495.475,498,5,5,5,555,Champions,Belgium,,25-34 ans,,
12409,79,7,8197.81,1171.1157142857141,565,4,5,5,455,Champions,Switzerland,Peau sèche,,,
12410,309,3,1241.93,413.9766666666667,502,2,3,5,235,À risque,Switzerland,,,,
12411,410,1,860.5600000000001,860.5600000000001,410,2,1,5,215,Hibernants,Australia,,,,
12412,75,6,3607.91,601.3183333333333,539,4,4,5,445,Champions,Denmark,Peau sèche,45-54 ans,,Zone rurale
12413,67,4,1409.74,352.435,402,4,4,5,445,Champions,Spain,,25-34 ans,,
12414,217,4,580.79,145.1975,464,3,4,4,344,Fidèles,Austria,Anti-âge,25-34 ans,,
12415,24,25,27492.170000000002,1099.6868000000002,528,5,5,5,555,Champions,Australia,,,,
12416,657,1,304.52,304.52,657,1,1,3,113,Hibernants,Australia,,45-54 ans,,
12417,3,20,11449.52,572.476,734,5,5,5,555,Champions,Belgium,Peau mixte,25-34 ans,,
12418,113,4,3779.3500000000004,944.8375000000001,630,4,4,5,445,Champions,Switzerland,,,Famille avec adolescents,
12419,386,2,660.51,330.255,414,2,2,4,224,Hibernants,Spain,Peau sensible,,Parent de jeunes enfants,Zone urbaine dense
12420,64,1,981.67,981.67,64,4,1,5,415,Nouveaux prometteurs,Cyprus,,,,
12421,16,6,1694.01,282.335,505,5,4,5,545,Champions,Spain,,18-24 ans,,
12422,96,15,4912.86,327.524,722,4,5,5,455,Champions,Australia,,,,
12423,1,10,4996.0,499.6,466,5,5,5,555,Champions,Denmark,,35-44 ans,,
12424,163,4,2767.67,691.9175,548,3,4,5,345,Fidèles,Australia,,,,
12425,78,2,2667.2799999999997,1333.6399999999999,448,4,2,5,425,Nouveaux prometteurs,Portugal,,,,Zone rurale
12426,195,2,2254.96,1127.48,663,3,2,5,325,Potentiels fidèles,Germany,,55 ans et plus,Parent de jeunes enfants,
12427,22,3,1245.4499999999998,415.1499999999999,372,5,3,5,535,Potentiels fidèles,Germany,,25-34 ans,,Zone urbaine dense
12428,26,8,8671.58,1083.9475,284,5,5,5,555,Champions,Finland,Peau sensible,,,
12429,9,8,5334.47,666.80875,546,5,5,5,555,Champions,Denmark,,45-54 ans,,
12430,43,1,332.69,332.69,43,5,1,4,514,Nouveaux prometteurs,Norway,Recherche vegan,45-54 ans,Famille avec adolescents,Zone rurale
12431,36,27,12228.76,452.91703703703706,694,5,5,5,555,Champions,Belgium,,,Retraité(e),Zone urbaine dense
12432,43,5,2866.21,573.242,172,5,4,5,545,Champions,Norway,Sans parfum,,,Périurbain
12433,1,10,22001.61,2200.161,477,5,5,5,555,Champions,Norway,Peau mixte,45-54 ans,,
12434,85,3,2319.2799999999997,773.0933333333332,381,4,3,5,435,Potentiels fidèles,Australia,,,,
12435,80,6,3932.4300000000003,655.4050000000001,737,4,4,5,445,Champions,Denmark,,45-54 ans,Famille avec adolescents,
12436,100,1,632.41,632.41,100,4,1,4,414,Nouveaux prometteurs,Norway,Peau sensible,,,
12437,2,39,17510.18,448.97897435897437,737,5,5,5,555,Champions,United Kingdom,Anti-imperfections,,,
12438,14,2,2730.48,1365.24,140,5,2,5,525,Nouveaux prometteurs,Norway,Peau sèche,,,
12439,683,2,2326.0,1163.0,726,1,2,5,125,Hibernants,Cyprus,Sans parfum,25-34 ans,,
12440,462,2,747.81,373.905,718,2,2,5,225,Hibernants,Austria,,,,Zone rurale
12441,367,1,453.06,453.06,367,2,1,4,214,Hibernants,United Kingdom,Peau sensible,45-54 ans,,
12442,3,1,271.98,271.98,3,5,1,3,513,Nouveaux prometteurs,Spain,,,Famille avec adolescents,
12443,732,1,683.84,683.84,732,1,1,4,114,Hibernants,Norway,Sans parfum,,,
12444,21,5,5166.55,1033.31,171,5,4,5,545,Champions,Norway,,35-44 ans,,Zone urbaine dense
12445,22,2,554.61,277.305,421,5,2,4,524,Nouveaux prometteurs,Spain,,,,
12446,57,1,1782.57,1782.57,57,4,1,5,415,Nouveaux prometteurs,RSA,,,Parent de jeunes enfants,
12447,243,1,660.96,660.96,243,3,1,4,314,Clients moyens,Belgium,Peau sèche,,Parent de jeunes enfants,
12448,44,1,537.43,537.43,44,5,1,4,514,Nouveaux prometteurs,Spain,Sans parfum,,Jeune actif en solo,
12449,22,6,6194.27,1032.3783333333333,439,5,4,5,545,Champions,Denmark,Peau sèche,,,
12450,156,5,905.69,181.138,474,3,4,5,345,Fidèles,Spain,,,,
12451,11,8,17129.12,2141.14,529,5,5,5,555,Champions,Switzerland,,,Parent de jeunes enfants,
12452,17,2,434.71,217.355,17,5,2,4,524,Nouveaux prometteurs,Switzerland,Recherche vegan,,Famille avec adolescents,
12453,134,1,1578.71,1578.71,134,4,1,5,415,Nouveaux prometteurs,Austria,Anti-imperfections,,Retraité(e),
12454,56,5,-182.7500000000001,-36.550000000000026,421,5,4,1,541,Clients moyens,Spain,,,,
12455,73,10,7154.34,715.434,722,4,5,5,455,Champions,Cyprus,,,Jeune actif en solo,
12456,44,3,3997.63,1332.5433333333333,255,5,3,5,535,Potentiels fidèles,Switzerland,Recherche vegan,,,
12457,66,8,2059.15,257.39375,435,4,5,5,455,Champions,Switzerland,Recherche vegan,,,
12458,71,4,2232.07,558.0175,488,4,4,5,445,Champions,Switzerland,,,Parent de jeunes enfants,
12459,605,1,714.54,714.54,605,1,1,5,115,Hibernants,Spain,,18-24 ans,,Zone urbaine dense
12460,456,1,462.38,462.38,456,2,1,4,214,Hibernants,Belgium,Recherche vegan,45-54 ans,,
12461,94,2,1135.27,567.635,155,4,2,5,425,Nouveaux prometteurs,Switzerland,Anti-âge,,,
12462,19,2,1985.9699999999998,992.9849999999999,303,5,2,5,525,Nouveaux prometteurs,Spain,,,,Périurbain
12463,53,4,2034.12,508.53,242,5,4,5,545,Champions,Belgium,,,,
12464,10,8,529.1,66.1375,309,5,5,4,554,Champions,Belgium,Peau sèche,,,
12465,17,2,1466.82,733.41,169,5,2,5,525,Nouveaux prometteurs,Belgium,Anti-âge,,Parent de jeunes enfants,
12466,682,1,2.57,2.57,682,1,1,1,111,Perdus,,,,,
12467,423,1,85.11999999999998,85.11999999999998,423,2,1,2,212,Hibernants,USA,,,,
12468,188,5,4379.13,875.826,683,3,4,5,345,Fidèles,Germany,Anti-imperfections,,,Zone urbaine dense
12469,523,2,2386.15,1193.075,537,2,2,5,225,Hibernants,Thailand,,,,
12470,690,1,808.49,808.49,690,1,1,5,115,Hibernants,Unspecified,,,Famille avec adolescents,
12471,2,76,28347.05,372.9875,733,5,5,5,555,Champions,Germany,,,Sans enfants,Zone urbaine dense
12472,32,19,23907.489999999998,1258.2889473684208,726,5,5,5,555,Champions,Germany,,45-54 ans,,
12473,54,3,4626.91,1542.3033333333333,192,5,3,5,535,Potentiels fidèles,Germany,,,,
12474,17,31,21323.22,687.8458064516129,667,5,5,5,555,Champions,Germany,,25-34 ans,,
12475,54,2,1819.0700000000002,909.5350000000001,410,5,2,5,525,Nouveaux prometteurs,Germany,,55 ans et plus,,
12476,16,23,13848.07,602.09,502,5,5,5,555,Champions,Germany,,,,
12477,23,9,17937.01,1993.001111111111,623,5,5,5,555,Champions,Germany,,,,
12478,4,1,957.07,957.07,4,5,1,5,515,Nouveaux prometteurs,Greece,,,,
12479,11,1,749.49,749.49,11,5,1,5,515,Nouveaux prometteurs,Germany,Anti-âge,,,
12480,28,7,8102.32,1157.4742857142858,507,5,5,5,555,Champions,Germany,Peau mixte,,,
12481,23,15,11564.01,770.934,607,5,5,5,555,Champions,Germany,,,,
12482,576,27,6790.63,251.5048148148148,654,1,5,5,155,À risque,Sweden,Recherche vegan,45-54 ans,,
12483,17,19,3389.36,178.38736842105263,677,5,5,5,555,Champions,Sweden,,35-44 ans,,Zone rurale
12484,33,12,15333.810000000001,1277.8175,681,5,5,5,555,Champions,Spain,Peau mixte,35-44 ans,Parent de jeunes enfants,Zone rurale
12485,529,1,854.5,854.5,529,2,1,5,215,Hibernants,Sweden,,,,Périurbain
12486,432,1,1501.93,1501.93,432,2,1,5,215,Hibernants,Sweden,,,,Périurbain
12487,731,1,-5.16,-5.16,731,1,1,1,111,Perdus,Sweden,,,,Périurbain
12488,10,3,1481.6399999999999,493.87999999999994,76,5,3,5,535,Potentiels fidèles,United Kingdom,,,,
12489,336,1,569.03,569.03,336,2,1,4,214,Hibernants,United Kingdom,,,,
12490,5,21,14570.17,693.817619047619,738,5,5,5,555,Champions,United Kingdom,Anti-âge,,,
12491,39,1,771.01,771.01,39,5,1,5,515,Nouveaux prometteurs,United Kingdom,,55 ans et plus,,Zone rurale
12492,63,3,1101.87,367.28999999999996,403,4,3,5,435,Potentiels fidèles,Germany,Anti-âge,18-24 ans,,Zone urbaine dense
12493,166,2,655.87,327.935,197,3,2,4,324,Potentiels fidèles,United Kingdom,Anti-imperfections,,,
12494,16,9,3254.44,361.6044444444444,576,5,5,5,555,Champions,United Kingdom,,,,
12495,641,1,334.92,334.92,641,1,1,4,114,Hibernants,Sweden,,45-54 ans,,Zone urbaine dense
12496,620,2,403.90000000000003,201.95000000000002,620,1,2,4,124,Hibernants,Spain,Anti-imperfections,,,Périurbain
12497,82,3,1745.2299999999998,581.7433333333332,645,4,3,5,435,Potentiels fidèles,Germany,,,,Zone rurale
12498,21,3,546.79,182.26333333333332,58,5,3,4,534,Potentiels fidèles,Germany,Sans parfum,18-24 ans,,
12499,560,1,661.12,661.12,560,2,1,4,214,Hibernants,Germany,Sans parfum,25-34 ans,,
12500,23,19,3488.48,183.6042105263158,673,5,5,5,555,Champions,Germany,Anti-imperfections,45-54 ans,,
12501,337,1,4322.81,4322.81,337,2,1,5,215,Hibernants,Germany,Sans parfum,,,Zone rurale
12502,96,5,4345.94,869.1879999999999,310,4,4,5,445,Champions,Spain,,,,
12503,584,1,19.71,19.71,584,1,1,1,111,Perdus,Spain,,,Parent de jeunes enfants,
12504,18,4,704.9,176.225,597,5,4,5,545,Champions,Germany,,,Jeune actif en solo,
12505,409,1,1447.81,1447.81,409,2,1,5,215,Hibernants,Italy,Peau sèche,,Parent de jeunes enfants,Zone urbaine dense
12506,233,1,801.38,801.38,233,3,1,5,315,Clients moyens,United Kingdom,Peau sèche,25-34 ans,,
12507,134,4,1589.61,397.4025,585,4,4,5,445,Champions,Spain,,,,
12508,26,2,1733.6399999999999,866.8199999999999,29,5,2,5,525,Nouveaux prometteurs,United Kingdom,Anti-imperfections,18-24 ans,,
12509,284,1,249.51,249.51,284,3,1,3,313,Clients moyens,United Kingdom,Peau mixte,,,
12510,143,7,4358.84,622.6914285714286,735,3,5,5,355,Fidèles,Spain,Recherche vegan,55 ans et plus,,Zone urbaine dense
12511,429,1,5352.339999999999,5352.339999999999,429,2,1,5,215,Hibernants,Greece,,,,
12512,66,2,1101.86,550.93,66,4,2,5,425,Nouveaux prometteurs,Israel,,45-54 ans,,
12513,113,1,1136.52,1136.52,113,4,1,5,415,Nouveaux prometteurs,United Kingdom,,,Retraité(e),
12514,267,2,2832.99,1416.495,642,3,2,5,325,Potentiels fidèles,Italy,,,,
12515,353,1,669.88,669.88,353,2,1,4,214,Hibernants,Italy,,45-54 ans,Famille avec adolescents,Zone urbaine dense
12516,78,4,2225.81,556.4525,599,4,4,5,445,Champions,Germany,Anti-âge,,Parent de jeunes enfants,
12517,28,5,9292.369999999999,1858.4739999999997,190,5,4,5,545,Champions,Germany,Peau mixte,35-44 ans,,Périurbain
12518,1,5,3831.99,766.3979999999999,110,5,4,5,545,Champions,Germany,,25-34 ans,,
12519,64,2,1186.44,593.22,477,4,2,5,425,Nouveaux prometteurs,Germany,Recherche vegan,18-24 ans,,
12520,79,5,4585.62,917.124,274,4,4,5,445,Champions,Germany,,25-34 ans,Sans enfants,
12521,143,1,1035.7,1035.7,143,3,1,5,315,Clients moyens,Germany,,55 ans et plus,,Zone rurale
12522,39,2,240.11,120.055,51,5,2,3,523,Nouveaux prometteurs,Germany,,45-54 ans,,
12523,19,23,6551.76,284.8591304347826,732,5,5,5,555,Champions,United Kingdom,,,,
12524,9,17,6838.7300000000005,402.2782352941177,669,5,5,5,555,Champions,Germany,Peau mixte,,,
12525,498,3,1125.1,375.0333333333333,647,2,3,5,235,À risque,United Kingdom,,35-44 ans,,
12526,1,3,2112.42,704.14,94,5,3,5,535,Potentiels fidèles,Germany,Anti-imperfections,35-44 ans,Jeune actif en solo,
12527,82,5,1094.13,218.82600000000002,529,4,4,5,445,Champions,Germany,Anti-imperfections,25-34 ans,Retraité(e),
12528,9,6,2704.3,450.7166666666667,313,5,4,5,545,Champions,Germany,Peau sèche,45-54 ans,,
12529,528,1,488.14000000000004,488.14000000000004,528,2,1,4,214,Hibernants,United Kingdom,Anti-âge,,,
12530,60,9,4782.08,531.3422222222222,642,4,5,5,455,Champions,Germany,,,Jeune actif en solo,Zone rurale
12531,15,2,3918.32,1959.16,686,5,2,5,525,Nouveaux prometteurs,Germany,Peau sensible,45-54 ans,,Périurbain
12532,30,1,726.3199999999999,726.3199999999999,30,5,1,5,515,Nouveaux prometteurs,United Kingdom,,35-44 ans,,Zone rurale
12533,628,2,1977.4,988.7,739,1,2,5,125,Hibernants,Germany,,,,
12534,131,1,1616.95,1616.95,131,4,1,5,415,Nouveaux prometteurs,Germany,Anti-imperfections,18-24 ans,,Périurbain
12535,92,2,1277.6999999999998,638.8499999999999,187,4,2,5,425,Nouveaux prometteurs,United Kingdom,,25-34 ans,,Périurbain
12536,59,1,7573.52,7573.52,59,4,1,5,415,Nouveaux prometteurs,United Kingdom,,,,Zone rurale
12537,409,1,1232.22,1232.22,409,2,1,5,215,Hibernants,Sweden,,,,
12538,29,2,1295.87,647.935,378,5,2,5,525,Nouveaux prometteurs,Spain,Anti-âge,,,
12539,22,7,16720.73,2388.675714285714,716,5,5,5,555,Champions,Spain,,,,
12540,20,33,24353.65,737.989393939394,732,5,5,5,555,Champions,Spain,Peau sensible,55 ans et plus,,
12541,30,3,1805.3400000000001,601.7800000000001,281,5,3,5,535,Potentiels fidèles,Spain,,35-44 ans,,
12542,484,2,957.0400000000001,478.52000000000004,640,2,2,5,225,Hibernants,Spain,,35-44 ans,,Zone rurale
12543,448,1,1463.82,1463.82,448,2,1,5,215,Hibernants,Spain,,25-34 ans,,Périurbain
12544,36,1,316.12,316.12,36,5,1,3,513,Nouveaux prometteurs,Spain,,45-54 ans,,
12545,75,2,1824.1999999999998,912.0999999999999,260,4,2,5,425,Nouveaux prometteurs,Spain,Anti-imperfections,,Parent de jeunes enfants,
12546,47,2,2230.33,1115.165,78,5,2,5,525,Nouveaux prometteurs,Spain,Recherche vegan,55 ans et plus,Jeune actif en solo,
12547,198,3,614.95,204.98333333333335,500,3,3,4,334,Potentiels fidèles,Spain,Peau sèche,,Parent de jeunes enfants,Périurbain
12548,166,1,106.14,106.14,166,3,1,2,312,Clients moyens,Spain,,25-34 ans,,Périurbain
12549,576,6,1624.58,270.7633333333333,698,1,4,5,145,À risque,USA,,55 ans et plus,,Zone rurale
12550,79,1,2046.64,2046.64,79,4,1,5,415,Nouveaux prometteurs,Spain,,,,
12551,358,1,247.92000000000002,247.92000000000002,358,2,1,3,213,Hibernants,Spain,,,Sans enfants,Zone urbaine dense
12552,39,2,658.45,329.225,40,5,2,4,524,Nouveaux prometteurs,Italy,,,,
12553,8,12,7093.09,591.0908333333333,423,5,5,5,555,Champions,United Kingdom,Peau mixte,,,
12554,449,1,810.31,810.31,449,2,1,5,215,Hibernants,Spain,,35-44 ans,Jeune actif en solo,
12555,682,1,2.5,2.5,682,1,1,1,111,Perdus,,,,,
12556,50,2,4132.76,2066.38,151,5,2,5,525,Nouveaux prometteurs,Spain,,,Jeune actif en solo,
12557,16,8,1895.49,236.93625,723,5,5,5,555,Champions,Spain,,,,
12558,8,1,-1.269999999999925,-1.269999999999925,8,5,1,1,511,Nouveaux prometteurs,USA,Peau sèche,,,
12559,311,2,555.01,277.505,320,2,2,4,224,Hibernants,Germany,,,,
12560,5,3,2879.62,959.8733333333333,143,5,3,5,535,Potentiels fidèles,Germany,Peau mixte,,,
12561,303,1,496.01,496.01,303,3,1,4,314,Clients moyens,Germany,,18-24 ans,,Périurbain
12562,8,9,6519.7,724.411111111111,435,5,5,5,555,Champions,United Kingdom,,,Retraité(e),
12563,409,1,571.09,571.09,409,2,1,4,214,Hibernants,Italy,,25-34 ans,,
12564,261,1,705.0699999999999,705.0699999999999,261,3,1,5,315,Clients moyens,United Kingdom,,55 ans et plus,,
12565,289,1,228.32999999999998,228.32999999999998,289,3,1,3,313,Clients moyens,Saudi Arabia,Sans parfum,,,
12566,86,1,374.32,374.32,86,4,1,4,414,Nouveaux prometteurs,Germany,,,,Périurbain
12567,23,15,18672.13,1244.8086666666668,667,5,5,5,555,Champions,United Kingdom,,55 ans et plus,,
12568,645,1,263.88,263.88,645,1,1,3,113,Hibernants,Germany,,45-54 ans,,
12569,2,32,4917.64,153.67625,252,5,5,5,555,Champions,Germany,,45-54 ans,,
12570,682,1,2.59,2.59,682,1,1,1,111,Perdus,,,,,
12571,40,2,959.46,479.73,122,5,2,5,525,Nouveaux prometteurs,United Kingdom,Sans parfum,55 ans et plus,,
12572,9,2,1859.8200000000002,929.9100000000001,52,5,2,5,525,Nouveaux prometteurs,Germany,,35-44 ans,,
12573,227,5,3738.52,747.704,465,3,4,5,345,Fidèles,United Kingdom,Recherche vegan,35-44 ans,Parent de jeunes enfants,
12574,316,1,301.55,301.55,316,2,1,3,213,Hibernants,United Kingdom,,25-34 ans,Jeune actif en solo,Périurbain
12575,457,2,1593.54,796.77,527,2,2,5,225,Hibernants,United Kingdom,Anti-âge,,,
12576,36,8,4215.85,526.98125,526,5,5,5,555,Champions,Poland,Recherche vegan,,,
12577,35,8,9330.65,1166.33125,736,5,5,5,555,Champions,United Kingdom,,,,
12578,21,4,4857.93,1214.4825,444,5,4,5,545,Champions,Italy,Anti-âge,,Retraité(e),Périurbain
12579,78,1,781.7399999999999,781.7399999999999,78,4,1,5,415,Nouveaux prometteurs,United Kingdom,Recherche vegan,,,
12580,247,2,1945.32,972.66,577,3,2,5,325,Potentiels fidèles,Germany,,25-34 ans,,Zone urbaine dense
12581,40,1,605.54,605.54,40,5,1,4,514,Nouveaux prometteurs,Germany,Peau sensible,55 ans et plus,,
12582,239,4,3068.47,767.1175,578,3,4,5,345,Fidèles,Finland,,,Jeune actif en solo,
12583,3,27,13724.12,508.30074074074076,734,5,5,5,555,Champions,United Kingdom,,,,Périurbain
12584,4,9,2234.37,248.26333333333332,280,5,5,5,555,Champions,Italy,Peau sèche,,,
12585,234,2,2265.3,1132.65,351,3,2,5,325,Potentiels fidèles,Germany,,,Parent de jeunes enfants,Zone rurale
12586,17,4,3064.86,766.215,723,5,4,5,545,Champions,Italy,,,,
12587,8,1,131.38,131.38,8,5,1,2,512,Nouveaux prometteurs,Finland,Anti-imperfections,,,
12588,39,4,1586.7600000000002,396.69000000000005,598,5,4,5,545,Champions,Finland,,,,
12589,29,7,5299.34,757.0485714285714,690,5,5,5,555,Champions,United Kingdom,,,,
12590,211,2,2167.36,1083.68,211,3,2,5,325,Potentiels fidèles,Germany,,,,
12591,317,3,2147.4700000000003,715.8233333333334,409,2,3,5,235,À risque,Italy,Recherche vegan,,Parent de jeunes enfants,
12592,92,4,2377.46,594.365,519,4,4,5,445,Champions,Germany,,,,
12593,109,3,551.26,183.75333333333333,219,4,3,4,434,Potentiels fidèles,United Kingdom,,35-44 ans,,Zone urbaine dense
12594,38,15,5997.49,399.8326666666666,646,5,5,5,555,Champions,Italy,,,,Zone rurale
12595,505,1,501.1,501.1,505,2,1,4,214,Hibernants,Germany,,,,
12596,51,2,863.86,431.93,242,5,2,5,525,Nouveaux prometteurs,Spain,Anti-âge,,Parent de jeunes enfants,
12597,19,4,5998.129999999999,1499.5324999999998,268,5,4,5,545,Champions,Spain,,45-54 ans,,
12598,10,11,5740.22,521.8381818181819,649,5,5,5,555,Champions,United Kingdom,,,Retraité(e),
12599,29,13,3434.0699999999997,264.15923076923076,578,5,5,5,555,Champions,United Kingdom,,,,
12600,29,21,2785.88,132.66095238095238,732,5,5,5,555,Champions,Germany,,18-24 ans,,
12601,190,6,1065.15,177.525,405,3,4,5,345,Fidèles,Germany,Sans parfum,,,
12602,59,1,265.2,265.2,59,4,1,3,413,Nouveaux prometteurs,United Kingdom,,25-34 ans,Jeune actif en solo,
12603,22,1,20.61,20.61,22,5,1,1,511,Nouveaux prometteurs,Germany,,,Retraité(e),
12604,79,2,749.0999999999999,374.54999999999995,262,4,2,5,425,Nouveaux prometteurs,United Kingdom,Peau sèche,,,
12605,376,4,2444.5499999999997,611.1374999999999,458,2,4,5,245,À risque,Germany,,,,
12606,682,1,2.57,2.57,682,1,1,1,111,Perdus,,,,,
12607,60,1,-60.970000000000255,-60.970000000000255,60,4,1,1,411,Nouveaux prometteurs,USA,,25-34 ans,,
12608,405,1,429.7,429.7,405,2,1,4,214,Hibernants,France,,,,
12609,78,9,4421.26,491.25111111111113,719,4,5,5,455,Champions,Germany,,,,
12610,23,5,2814.4,562.88,126,5,4,5,545,Champions,Italy,,,,
12611,52,1,2000.13,2000.13,52,5,1,5,515,Nouveaux prometteurs,Italy,,,,
12612,74,1,648.12,648.12,74,4,1,4,414,Nouveaux prometteurs,Germany,Recherche vegan,18-24 ans,,
